"","LAName","Region","AB","C1","C2","DE","ConVote","LabVote","LDVote","UKIPVote","GreenVote","Leave","control","elected.Independent","elected.Conservative","elected.Labour","elected.UK Independence Party","total.Independent","total.Conservative","total.Labour","total.UK Independence Party","change.Independent","change.Conservative","change.Labour","change.UK Independence Party","elected.Green","total.Green","change.Green","elected.Liberal Democrat","total.Liberal Democrat","change.Liberal Democrat","elected.Residents' Association","total.Residents' Association","change.Residents' Association","elected.Liberal Party","total.Liberal Party","change.Liberal Party","elected.Independent Community & Health Concern","total.Independent Community & Health Concern","change.Independent Community & Health Concern"
"50","Cotswold","South West",0.303942771585427,0.297704208950258,0.222508733987689,0.175844285476626,0.565496673548979,0.0924700442938571,0.18649302062929,0.109199357650837,0.046340903877036,0.489,"LD GAIN FROM CON",1,14,0,0,1,14,0,0,1,-10,0,0,1,1,1,18,18,8,0,0,0,0,0,0,0,0,0
"51","Coventry","West Midlands",0.166398853692237,0.316032956348191,0.196550841819764,0.321017348139809,0.297943221320973,0.450189058974203,0.0426602427273282,0.145514423370129,0.0375449777398305,0.556,"LAB HOLD",0,4,14,0,1,13,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","Craven","Yorkshire and The Humber",0.266536251375474,0.285364959041448,0.256938501039247,0.191160288543832,0.554408988434539,0.173885151853956,0.0743598672996206,0.140233508678678,0.0571124837332063,0.5283,"CON LOSE TO NOC",5,4,1,0,9,15,3,0,3,-3,0,-1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0
"53","Crawley","South East",0.176987744952934,0.338582677165354,0.230004144218815,0.254425433662897,0.470216271884655,0.335798146240989,0.0275798146240989,0.143748712667353,0.0226570545829042,0.5841,"LAB HOLD",0,17,19,0,0,17,19,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","Dacorum","East",0.291638766126512,0.329851345922057,0.193830632561046,0.184679255390384,0.541591133429348,0.214577090067197,0.0654686665372024,0.136355140448942,0.0371221104702271,0.5067,"CON HOLD",1,31,0,0,1,31,0,0,1,-15,-2,0,0,0,0,19,19,16,0,0,0,0,0,0,0,0,0
"55","Darlington","North East",0.181958432788031,0.303283460441288,0.21977062350818,0.294987483262502,0.34478215010231,0.434167580292162,0.0462210669782293,0.135470195949279,0.0346230282854367,0.5618,"LAB LOSE TO NOC",3,22,20,0,3,22,20,0,2,5,-9,0,2,2,2,3,3,0,0,0,0,0,0,0,0,0,0
"56","Dartford","South East",0.190630515000802,0.346895555912081,0.242098507941601,0.220375421145516,0.489717272692587,0.254206570262124,0.0277385630890152,0.199053760158724,0.0252584989888969,0.6422,"CON HOLD",0,29,10,0,0,29,10,0,-2,-4,3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0
"57","Derby","East Midlands",0.18990440662159,0.283503018056527,0.207235563845496,0.319357011476387,0.360519094388242,0.392349264176254,0.0616307824885808,0.147706025718158,0.0343169843200794,0.5722,"NOC NO CHANGE",1,6,5,2,3,20,16,5,1,1,-6,2,0,0,0,3,7,2,0,0,0,0,0,0,0,0,0
"58","Derbyshire Dales","East Midlands",0.29843137254902,0.258921568627451,0.250490196078431,0.192156862745098,0.523743164206837,0.227212263254577,0.0837186714807542,0.116298220054475,0.0458816325668799,0.5156,"CON HOLD",3,20,6,0,3,20,6,0,1,-9,1,0,2,2,2,8,8,5,0,0,0,0,0,0,0,0,0
"59","Dover","South East",0.175173979271826,0.317403900719811,0.233863982557271,0.273558137451092,0.426515485426922,0.2989545577845,0.0297814347900665,0.21750259662419,0.0252955941521505,0.6215,"CON HOLD",1,19,12,0,1,19,12,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","Dudley","West Midlands",0.169511515906038,0.289923445707608,0.260535770839476,0.280029267546877,0.404523498212834,0.358026526884728,0.0228309749365053,0.192440283238235,0.0202346256455434,0.676,"NOC NO CHANGE",0,13,11,0,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","East Cambridgeshire","East",0.280961987263162,0.292749495668684,0.239824374035837,0.186464143032317,0.497073360873455,0.150142676501012,0.172495870729679,0.132091928138883,0.0481961637569711,0.5092,"CON HOLD",0,15,0,0,0,15,0,0,-1,-11,0,0,0,0,0,13,13,12,0,0,0,0,0,0,0,0,0
"62","East Devon","South West",0.230007725100855,0.305999828331092,0.252496352035707,0.211496094532345,0.491792657122045,0.111368743229469,0.0816700029884901,0.139287375779282,0,0.5411,"IND GAIN FROM CON",31,19,0,0,31,19,0,0,18,-22,0,0,2,2,2,8,8,2,0,0,0,0,0,0,0,0,0
"63","East Hampshire","South East",0.328222429737627,0.306142121276019,0.205500497032864,0.16013495195349,0.607393720658683,0.102594478407968,0.108300873081898,0.125021920029673,0.0566890078217791,0.4948,"CON HOLD",2,32,2,0,2,32,2,0,2,-8,2,0,0,0,0,7,7,4,0,0,0,0,0,0,0,0,0
"64","East Lindsey","East Midlands",0.142827153690729,0.269411425122674,0.267941955968406,0.31981946521819,0.494857615190286,0.177375229997808,0.0402741427642164,0.241715020365891,0.0278240324490983,0.7065,"CON HOLD",18,29,7,0,18,29,7,0,9,-4,3,-8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"65","East Riding of Yorkshire","Yorkshire and The Humber",0.224274677406098,0.303967699515082,0.246578860853127,0.225178762225692,0.500097205879619,0.23575773274599,0.0564995712884448,0.162505671316711,0.0338247801238008,0.604,"CON HOLD",10,49,0,0,10,49,0,0,5,-2,-6,-3,0,0,0,8,8,6,0,0,0,0,0,0,0,0,0
"66","East Staffordshire","West Midlands",0.200173085244483,0.260637530650512,0.224722342420309,0.314467041684696,0.506839361217921,0.265176975369858,0.0279519792387017,0.17349627678844,0.0262826945728833,0.6321,"CON HOLD",3,25,10,0,3,25,10,0,3,0,-2,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"67","Eastbourne","South East",0.187080120461992,0.33209782572724,0.219412913260747,0.261409140550022,0.395675430472338,0.0783072183264974,0.381820931067723,0.11603379514998,0.0255353733910447,0.5733,"LD HOLD",0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0
"68","Eastleigh","South East",0.269544501126447,0.326773182795142,0.223528497811845,0.180153818266567,0.44553207649586,0.121140821433988,0.25548908000169,0.143244516350633,0.03094041257031,0.5245,"LD HOLD",1,0,0,0,3,2,0,0,0,-2,0,0,0,0,0,12,34,2,0,0,0,0,0,0,0,0,0
"69","Eden","North West",0.198699794026777,0.25437693099897,0.316941297631308,0.229981977342945,0.596571116322488,0.143621502242663,0.0852667288996152,0.121877917169463,0.0526627353657704,0.5332,"CON LOSE TO NOC",10,14,2,0,10,14,2,0,0,-7,2,0,2,2,2,10,10,3,0,0,0,0,0,0,0,0,0
"70","Elmbridge","South East",0.440290250366673,0.317782981241798,0.128862928749711,0.113063839641819,0.624309781199646,0.131172931329197,0.0901702728178587,0.103717288033522,0.0413398362898346,0.4047,"NOC NO CHANGE",0,6,0,0,0,21,0,0,0,-3,0,0,0,0,0,3,10,1,7,17,2,0,0,0,0,0,0
"71","Epping Forest","East",0.25473321858864,0.362951807228916,0.20223752151463,0.180077452667814,0.550467319190286,0.165343871525747,0.0694034711057167,0.179110821508131,0.0333786256792558,0.6269,"CON HOLD",1,15,0,0,2,37,0,0,0,-2,0,0,1,3,1,1,3,1,0,13,0,0,0,0,0,0,0
"72","Epsom & Ewell","South East",0.34269298489482,0.351959966638866,0.170512464090446,0.134834584375869,0.582906042734893,0.15515461211347,0.0875347811630471,0.124547188632028,0.0370299074252314,0.4792,"RA HOLD",0,1,3,0,0,1,3,0,-5,-3,0,0,0,0,0,2,2,2,32,32,6,0,0,0,0,0,0
"73","Erewash","East Midlands",0.179764851485149,0.291854185418542,0.258157065706571,0.270223897389739,0.442548322696483,0.336757900340916,0.0365522710712315,0.157144395014203,0.0269971108771667,0.6123,"CON HOLD",0,27,19,0,0,27,19,0,0,-3,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"74","Exeter","South West",0.224353062442359,0.347990017902675,0.192372375630662,0.235284544024304,0.346289919832693,0.422393638638202,0.0458309831344821,0.0975811157144477,0,0.4472,"LAB HOLD",1,2,9,0,1,6,29,0,1,-2,-1,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0
"75","Fenland","East",0.129969965675057,0.264445080091533,0.273526887871854,0.332058066361556,0.550869061413673,0.144380069524913,0.0446890691386636,0.22499034376207,0.0350714561606798,0.7139,"CON HOLD",10,26,0,0,10,26,0,0,7,-8,0,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0
"76","Forest of Dean","South West",0.202832422194481,0.272093323576256,0.277258835177134,0.247815419052129,0.468315831987076,0.246445880452342,0.0531098546042003,0.177544426494346,0.0545840064620355,0.5858,"NOC NO CHANGE",14,10,5,0,14,10,5,0,10,-6,-6,-4,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0
"77","Fylde","North West",0.275691309873351,0.338314562426048,0.17625662824839,0.209737499452211,0.491447987694286,0.187845811235852,0.0372615193883876,0.127855453773217,0.0317055811924605,0.5696,"CON HOLD",19,31,0,0,19,31,0,0,5,-1,-1,0,0,0,0,1,1,-1,0,0,-2,0,0,0,0,0,0
"78","Gedling","East Midlands",0.216066404051773,0.331963984243106,0.231119864940912,0.220849746764209,0.377870069161601,0.410853719010038,0.0362660303859813,0.144677640564787,0.0300403044449672,0.5555,"LAB HOLD",2,8,29,0,2,8,29,0,2,-7,4,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0
"79","Gravesham","South East",0.171271643390602,0.296393047322415,0.250644696741351,0.281690612545631,0.468377909411835,0.301441991264285,0.0221583996489758,0.185604020822115,0.0224176788527892,0.6538,"LAB GAIN FROM NOC",2,18,24,0,2,18,24,0,2,-5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","Great Yarmouth","East",0.112350124095501,0.277659314153878,0.254518124934457,0.355472436816164,0.429265330904675,0.290876790573208,0.0231622028829072,0.230947401560638,0.0219928489509546,0.715,"CON HOLD",3,20,15,1,3,20,15,1,3,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","Guildford","South East",0.379673945557882,0.323935586798285,0.161357064512913,0.13503340313092,0.580965727913233,0.114260500305536,0.142130843420122,0.10170975739264,0.0478929321812051,0.4383,"CON LOSE TO NOC",19,9,2,0,19,9,2,0,16,-25,1,0,1,1,1,17,17,7,0,0,0,0,0,0,0,0,0
"82","Halton","North West",0.137016275753553,0.28871023258101,0.214412155185131,0.359861336480307,0.231330945188388,0.583277775568564,0.025503592859192,0.131461660714942,0.0231477464966519,0.5742,"LAB HOLD",0,1,17,0,0,2,51,0,0,0,-1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0
"83","Hambleton","Yorkshire and The Humber",0.26600579891858,0.307930412977039,0.231721651908158,0.194342136196223,0.518646943161615,0.140885290034846,0.0743559794137956,0.150673405045641,0.0440555553317416,0.5366,"CON HOLD",2,24,1,0,2,24,1,0,2,-3,1,-1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"84","Harborough","East Midlands",0.313666975843852,0.321450175424446,0.20647658991007,0.158406258821632,0.533519450854668,0.174883840942078,0.106357375098846,0.155715845326371,0,0.5075,"CON HOLD",0,22,1,0,0,22,1,0,0,-5,1,0,0,0,0,11,11,4,0,0,0,0,0,0,0,0,0
"85","Harlow","East",0.149145282802402,0.317870664270144,0.244177597613675,0.288806455313779,0.488644324422047,0.299948023773474,0.0204289168606359,0.162888974260469,0.0215588348285914,0.681,"LAB HOLD",0,4,7,0,0,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","Hart","South East",0.404532729991947,0.323081642827012,0.16520305249837,0.107182574682671,0.639070326051896,0.108959575172505,0.102631510060111,0.0993577898082945,0.0437857558907917,0.476,"NOC NO CHANGE",1,3,0,0,1,11,0,0,1,-5,0,0,0,0,0,4,10,2,4,11,2,0,0,0,0,0,0
"87","Hartlepool","North East",0.127186062904904,0.256050485045819,0.238394145882985,0.378369306166292,0.209065586224361,0.356444669536592,0.0192707014434034,0.279868321093948,0.0339579640415295,0.6957,"LAB LOSE TO NOC",6,1,3,1,16,3,13,1,4,0,-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","Havant","South East",0.19986192613048,0.28572661373835,0.24548383385111,0.26892762628006,0.541781145540593,0.146058388307133,0.0736632260705959,0.190598783187195,0.0478984568944836,0.6236,"CON HOLD",0,11,0,0,0,33,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"89","Herefordshire","West Midlands",0.207803255136954,0.275098769399444,0.262452505623712,0.25464546983989,0.541141897565071,0.120906801007557,0.113035264483627,0.154009235936188,0.0709068010075567,0.5922,"CON LOSE TO NOC",26,13,0,0,26,13,0,0,6,-15,0,0,7,7,5,6,6,4,0,0,0,0,0,0,0,0,0
"90","Hertsmere","East",0.288274062886173,0.351194562680214,0.182514073870658,0.178017300562955,0.592841029326626,0.224291788944122,0.0554391008364776,0.127428080892775,0,0.5084,"CON HOLD",0,29,7,0,0,29,7,0,0,-8,5,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0
"91","High Peak","East Midlands",0.243703080053322,0.285939802146916,0.236195888584859,0.234161229214902,0.449624918781626,0.353265470869677,0.047037744393471,0.114414538581189,0.0356573273740377,0.5055,"LAB GAIN FROM CON",0,16,22,0,0,16,22,0,-1,-7,5,0,2,2,2,3,3,1,0,0,0,0,0,0,0,0,0
"92","Hinckley & Bosworth","East Midlands",0.223246725490795,0.314230757487864,0.238359844899704,0.224162672121638,0.435428963835388,0.177410222377693,0.213237509554973,0.173327869200653,0,0.6033,"LD GAIN FROM CON",0,11,2,0,0,11,2,0,0,-10,1,0,0,0,0,21,21,9,0,0,0,0,0,0,0,0,0
"93","Horsham","South East",0.324904952867038,0.33698765689287,0.194859642726941,0.14324774751315,0.585704871650676,0.113375216930829,0.100560732962418,0.141576378292451,0.0477328461823113,0.4854,"CON HOLD",1,32,0,0,1,32,0,0,1,-13,0,0,2,2,2,13,13,10,0,0,0,0,0,0,0,0,0
"94","Hyndburn","North West",0.132104813000544,0.271246403856621,0.253946038410699,0.342702744732136,0.318884510457714,0.421479702473943,0.0200293795322592,0.213444633571945,0.0261617739641383,0.6619,"LAB HOLD",0,3,9,0,0,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","Ipswich","East",0.171901731335113,0.281895116220717,0.230411277629508,0.315791874814663,0.471644340424281,0.331934141169665,0.0356829747753576,0.121549537020936,0.0385505443683839,0.5826,"LAB HOLD",0,4,11,0,0,9,36,0,0,-3,2,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0
"96","King's Lynn & West Norfolk","East",0.159554865926393,0.275493381176357,0.266037918828492,0.298913834068758,0.51754276980131,0.208480869533278,0.0384138332719042,0.19665683657969,0.0389056908138184,0.664,"CON HOLD",15,28,10,0,15,28,10,0,14,-16,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"97","Kingston-upon-Hull","Yorkshire and The Humber",0.102705222819845,0.261538986365859,0.236681411400826,0.39907437941347,0.160131380734007,0.514363294964955,0.0835853517384531,0.194705246526758,0.0377346797339675,0.6762,"LAB HOLD",0,0,10,0,0,2,31,0,0,0,0,0,0,0,0,9,24,0,0,0,0,0,0,0,0,0,0
"98","Kirklees","Yorkshire and The Humber",0.19220666167779,0.29132240871119,0.217665205638449,0.298805723972571,0.361547666929842,0.40859638407643,0.0501124700204085,0.136111069731413,0.0363230993063107,0.5467,"LAB HOLD",2,5,11,0,4,16,36,0,1,-3,-1,0,1,3,0,4,10,3,0,0,0,0,0,0,0,0,0
"99","Knowsley","North West",0.11045347532399,0.277057801051728,0.220136856696517,0.392351866927765,0.0899931173787887,0.741419192747373,0.035804617273278,0.103283892568472,0.0294991800320885,0.5156,"LAB HOLD",1,0,11,0,2,0,37,0,1,0,-3,0,2,3,2,1,3,0,0,0,0,0,0,0,0,0,0
"100","Lancaster","North West",0.210247306859908,0.30048877756973,0.229968630693286,0.259295284877076,0.432491286634621,0.375918936842406,0.0358342300769908,0.114231162144041,0.038758280827327,0.5108,"LAB LOSE TO NOC",14,12,21,0,14,12,21,0,11,-7,-8,0,10,10,1,3,3,3,0,0,0,0,0,0,0,0,0
"101","Leeds","Yorkshire and The Humber",0.222751960393137,0.326996832428119,0.190408527201218,0.259842679977526,0.315335871423199,0.425561953151646,0.0799052606086638,0.125926420553279,0.0482640937986446,0.4969,"LAB HOLD",2,7,20,0,7,23,58,0,-1,1,-3,0,1,3,1,3,8,2,0,0,0,0,0,0,0,0,0
"102","Leicester","East Midlands",0.13887490687982,0.289880604828156,0.180391406769082,0.390853081522943,0.229592630628948,0.567251734976504,0.037866056701833,0.109482463511032,0.0457395823608129,0.4892,"LAB HOLD",0,0,53,0,0,0,53,0,0,-1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"103","Lewes","South East",0.251846780296206,0.32791611113113,0.223018990306656,0.197218118266008,0.385627171004652,0.160354078436232,0.289633459920421,0.105438932728949,0.0582883821183655,0.4793,"NOC NO CHANGE",2,19,3,0,2,19,3,0,2,-5,3,-2,9,9,6,8,8,-4,0,0,0,0,0,0,0,0,0
"104","Lichfield","West Midlands",0.283281244513116,0.307651789163184,0.210204726621484,0.198862239702216,0.543010066717766,0.208690552359497,0.0487355810480234,0.161722637552596,0.0359006231148273,0.5881,"CON HOLD",2,34,10,0,2,34,10,0,2,-7,6,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"105","Lincoln","East Midlands",0.154655581176318,0.296482738462538,0.214413302588419,0.334448377772726,0.426363869205157,0.395564757107487,0.0425168616067617,0.122107914283275,0,0.5694,"LAB HOLD",0,1,10,0,0,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","Liverpool","North West",0.15997605970112,0.323667853290856,0.164321473325894,0.35203461368213,0.0892665087924265,0.722952293540435,0.0385181589820526,0.0803887474205919,0.0530793211304974,0.4181,"LAB HOLD",0,0,25,0,1,0,72,0,0,0,-3,0,1,4,0,3,10,2,0,0,0,1,3,1,0,0,0
"107","Luton","East",0.153556527933245,0.302398154743733,0.211950069536312,0.33209524778671,0.302819313795862,0.484050062831709,0.0519531379241905,0.123284017713599,0.0259225441379145,0.5655,"LAB HOLD",0,4,32,0,0,4,32,0,0,-1,-3,0,0,0,0,12,12,4,0,0,0,0,0,0,0,0,0
"108","Maidstone","South East",0.242473049005712,0.333548082291801,0.217046772323154,0.206932096379333,0.491674842673023,0.128729788404953,0.168231026423726,0.167460401244472,0.0323549181113513,0.5875,"NOC NO CHANGE",2,9,1,0,7,24,4,0,0,-1,1,0,0,0,0,6,20,0,0,0,0,0,0,0,0,0,0
"109","Maldon","East",0.240602767351969,0.314268108229231,0.255111758444905,0.190017365973895,0.599377531038607,0.126888354043586,0.0483730531408934,0.14951871464966,0.0338286851067668,0.6258,"CON HOLD",14,17,0,0,14,17,0,0,12,-11,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","Malvern Hills","West Midlands",0.301633829889476,0.284046131667468,0.221864488226814,0.192455550216242,0.560850277264325,0.133900184842884,0.0969500924214418,0.143512014787431,0.0647874306839187,0.5216,"CON LOSE TO NOC",10,13,1,0,10,13,1,0,3,-10,1,0,5,5,2,9,9,4,0,0,0,0,0,0,0,0,0
"111","Manchester","North West",0.192705504453205,0.328439188202657,0.147250693531902,0.331604613812235,0.138323422365248,0.589679117896511,0.0900728654274181,0.100733900907666,0.0732822106192427,0.3964,"LAB HOLD",0,0,32,0,0,0,93,0,0,0,-1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0
"112","Mansfield","East Midlands",0.1312625250501,0.268354891601385,0.256452298536467,0.343930284812048,0.281567181573538,0.394189816286314,0.0347932956158752,0.251096560930646,0.0314877206365351,0.7086,"NOC NO CHANGE",19,2,15,0,19,2,15,0,4,2,-4,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","Medway","South East",0.165436616605062,0.319870322842091,0.25353357975268,0.261159480800167,0.468191894096632,0.227669464948328,0.0300966358932916,0.241717278984733,0.0263788520506442,0.6408,"CON HOLD",2,33,20,0,2,33,20,0,2,-3,5,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","Melton","East Midlands",0.236935828530726,0.287767920740789,0.242698957456453,0.232597293272033,0.556434628133985,0.153526363020347,0.080709851107082,0.15892899657528,0.0425800780176913,0.5811,"CON HOLD",5,22,0,0,5,22,0,0,3,-4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"115","Mendip","South West",0.232157202002101,0.274083915219675,0.255082493975159,0.238676388803065,0.493167486034283,0.0696083424644037,0.265648997671727,0.102707845337047,0.0637972403911862,0.4893,"CON LOSE TO NOC",5,10,0,0,5,10,0,0,4,-22,0,0,10,10,7,22,22,11,0,0,0,0,0,0,0,0,0
"116","Mid Devon","South West",0.210757946210269,0.272193820849078,0.284729939986664,0.23231829295399,0.533256854268732,0.127606849182632,0.111365911828365,0.151805878268902,0.0735060291345948,0.5334,"CON LOSE TO NOC",10,18,0,0,10,18,0,0,4,-10,0,-2,2,2,2,12,12,7,0,0,0,0,0,-1,0,0,0
"117","Mid Suffolk","East",0.246975114674757,0.300754866905046,0.257449344457688,0.194820673962509,0.545566377908135,0.18139707636257,0.0607034002245401,0.14364352531453,0.0675306416029239,0.5523,"CON LOSE TO NOC",1,16,0,0,1,16,0,0,-1,-7,0,0,12,12,7,5,5,1,0,0,0,0,0,0,0,0,0
"118","Mid Sussex","South East",0.317369341363901,0.352365455605207,0.189625024285992,0.1406401787449,0.568470276029131,0.132366979170451,0.109897590028673,0.125546367433335,0.0447132767024175,0.4691,"CON HOLD",4,34,0,0,4,34,0,0,4,-20,0,0,3,3,3,13,13,13,0,0,0,0,0,0,0,0,0
"119","Middlesbrough","North East",0.115254789673394,0.266266266266266,0.209698070163186,0.408780873897153,0.247292543037329,0.508836043301252,0.0360739093220672,0.172725651084907,0.0350718532544448,0.6548,"LAB LOSE TO NOC",23,3,20,0,23,3,20,0,14,-1,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","Milton Keynes","South East",0.253712825221157,0.321095795233191,0.182880680901748,0.242310698643904,0.470203444757847,0.312240121398136,0.0504453836986994,0.125641926938212,0.0359307619104774,0.5141,"NOC NO CHANGE",0,8,6,0,0,19,23,0,0,-5,2,0,0,0,0,5,15,3,0,0,0,0,0,0,0,0,0
"121","Mole Valley","South East",0.37173440511832,0.322929910183324,0.178074888241808,0.127260796456548,0.602682461931982,0.0941034273335878,0.135796646323488,0.114043122429469,0.0513687954810613,0.4692,"LD GAIN FROM CON",1,2,0,0,7,12,0,0,1,-10,0,0,0,0,0,11,22,9,0,0,0,0,0,0,0,0,0
"122","New Forest","South East",0.245931321111866,0.313231693516861,0.235993662942617,0.204843322428657,0.580639499468288,0.115128488390101,0.0817597076101882,0.170075472087717,0.0523968324437057,0.5776,"CON HOLD",1,46,0,0,1,46,0,0,1,-12,0,0,0,0,0,13,13,11,0,0,0,0,0,0,0,0,0
"123","Newark & Sherwood","East Midlands",0.210648416657,0.279172949773808,0.238458415497042,0.271720218072149,0.52705865557458,0.26831314695194,0.0369240822856446,0.129587181276789,0.029781014614845,0.6039,"CON HOLD",3,27,7,0,3,27,7,0,0,3,-5,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0
"124","Newcastle-upon-Tyne","North East",0.201581027667984,0.333742983359352,0.160239589907109,0.304436399065555,0.201748351482407,0.49806204802094,0.0915787177637209,0.147410191446165,0.0559153677075119,0.493,"LAB HOLD",2,0,17,0,4,0,54,0,1,0,-2,0,0,0,0,8,20,1,0,0,0,0,0,0,0,0,0
"125","North Devon","South West",0.177136856317744,0.27858830589206,0.278325769793347,0.26594906799685,0.427006880733945,0.0706995412844037,0.294438073394495,0.147534403669725,0.0576834862385321,0.5704,"LD GAIN FROM NOC",7,11,0,0,7,11,0,0,-3,-8,0,-1,2,2,2,21,21,10,0,0,0,0,0,0,0,0,0
"126","North East Derbyshire","East Midlands",0.195735971345727,0.290260958553641,0.250315538120416,0.263687531980215,0.346577505824902,0.424238227656659,0.0403632189400079,0.167653014296198,0,0.6278,"CON GAIN FROM LAB",2,30,18,0,2,30,18,0,1,13,-17,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0
"127","North East Lincolnshire","Yorkshire and The Humber",0.116356409146365,0.248455271754103,0.243161871777717,0.392026447321815,0.365498433335068,0.344054974772682,0.0397507317583184,0.217176032891235,0.0228369469645711,0.6987,"CON GAIN FROM NOC",0,10,4,1,0,23,14,1,0,5,-6,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
"128","North Hertfordshire","East",0.329976801692712,0.310118030948071,0.181839039437122,0.178066127922094,0.553830638670538,0.205404181239091,0.0754399174434181,0.112214243942189,0.0526738695069227,0.4563,"CON LOSE TO NOC",0,7,3,0,0,22,16,0,0,-7,2,0,0,0,0,6,11,5,0,0,0,0,0,0,0,0,0
"129","North Kesteven","East Midlands",0.21798417087823,0.336702584151807,0.238390388099552,0.206922856870411,0.54727551032167,0.196604427860878,0.0549955488490039,0.153107420838907,0,0.6226,"CON LOSE TO NOC",22,20,0,0,22,20,0,0,8,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130","North Lincolnshire","Yorkshire and The Humber",0.156596528349203,0.249226127502841,0.264801535989969,0.329375808157988,0.424021234296869,0.345568461388009,0.0209649688502613,0.167228091748898,0.0227375140944786,0.663,"CON HOLD",0,27,16,0,0,27,16,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131","North Norfolk","East",0.175443765191132,0.271378065846652,0.285740590704869,0.267437578257347,0.340168110133306,0.115789504891565,0.343623321181117,0.168335000936347,0.0320840628576638,0.5891,"LD GAIN FROM NOC",4,6,0,0,4,6,0,0,4,-19,0,0,0,0,0,30,30,15,0,0,0,0,0,0,0,0,0
"132","North Somerset","South West",0.248380271294307,0.318188528220185,0.215296799908147,0.218134400577362,0.508933216137191,0.161757583367715,0.116347068003659,0.152788490860495,0.0573842538611943,0.5217,"CON LOSE TO NOC",17,13,6,0,17,13,6,0,11,-23,3,0,3,3,2,11,11,7,0,0,0,0,0,0,0,0,0
"133","North Tyneside","North East",0.197038962591132,0.337142942512251,0.198398470180471,0.267419624716147,0.264651640365655,0.518198040134379,0.0365854874243617,0.14114820611486,0.0344820711174025,0.534,"LAB HOLD",0,3,17,0,1,7,51,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"134","North Warwickshire","West Midlands",0.18955732122588,0.297281228041727,0.259013026322901,0.254148424409491,0.427650327490882,0.358596079852501,0.0202405878368394,0.169905048263395,0.020178906255805,0.6688,"CON HOLD",0,21,14,0,0,21,14,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135","North West Leicestershire","East Midlands",0.220750939552527,0.288714832636718,0.247831126409329,0.242703101401426,0.49478156281524,0.274152246449911,0.0394389695041515,0.168852331807248,0.02277488942345,0.607,"CON HOLD",3,20,10,0,3,20,10,0,1,-5,0,0,1,1,1,4,4,3,0,0,0,0,0,0,0,0,0
